,uuid,x,y,content,size,color
141,8f987bd9-5551-03e3-ae10-c4cd0fea2e00,672.950501213074,-794.2851428031918,ZA,14,#000000
142,8e26b774-cdf6-29c2-5b62-0427a2473acc,318.27430868148804,-812.2851428031918,Z,14,#000000
143,1b6212d8-81ec-be13-7ab2-5d575a24aa7a,672.274308681488,-814.2851428031918,Z,14,#000000
144,3dcd3c83-2bab-609b-791d-e30c2e43afd2,318.67493368148826,-832.2851428031918,Y,14,#000000
145,423bfc67-63e0-adc6-57d5-3f4a0981bfdd,672.6749336814883,-834.2851428031918,Y,14,#000000
146,f8e69e0a-53f3-9d08-ee78-a3cace8106e7,318.67493368148826,-852.2851428031918,X,14,#000000
147,9b28ac63-b7bf-5008-a874-cedef31b61f2,672.6749336814883,-854.2851428031918,X,14,#000000
148,9633d7c6-1f6c-4f28-5516-b2e88346827e,319.0584561920168,-894.2851428031918,U,14,#000000
149,3494a53e-c751-2657-9a99-75ff83ae3953,673.0584561920168,-896.2851428031918,U,14,#000000
150,3b23b8a6-d6e9-16d5-6c79-b94a1c9303a5,318.6138537025454,-872.2851428031918,W,14,#000000
151,a9c8f9f3-f16a-6957-f284-64ef26ce1d43,672.6138537025454,-874.2851428031918,W,14,#000000
152,874e081d-b51b-7888-cf62-b033b864ddb8,319.27430868148804,-914.2851428031918,T,14,#000000
153,e23c1965-6252-8689-b7eb-77393198c4a8,673.274308681488,-916.2851428031918,T,14,#000000
154,95f72329-3cb8-b588-45ae-a6e85e8f634c,319.4490811920168,-974.2851428031918,Q,14,#000000
155,e27e32f7-b991-6632-c7a4-cde212140c5d,673.4490811920168,-976.2851428031918,Q,14,#000000
156,a0fbdf3e-997b-5842-ea2f-9aefccfd2e76,1023.5498762130736,-693.2851428031918,ZF,14,#000000
157,57e148e5-dbf3-2b88-4357-e604de7258b8,1022.6749336814884,-935.2851428031918,S,14,#000000
158,81465121-b32b-d751-b350-14d1c871f318,1022.950501213074,-713.2851428031918,ZE,14,#000000
159,aba1ce24-b8b8-a8ae-7f76-48d42799ee86,1023.3340242004396,-733.2851428031918,ZD,14,#000000
160,6d3f50c1-4e75-f11a-1517-26926b16d331,1023.068456192017,-895.2851428031918,U,14,#000000
161,8308630d-07eb-3e6d-b591-4a9fc6c25f8d,1023.3340242004396,-753.2851428031918,ZC,14,#000000
162,aa195760-d5a0-d573-8a48-8d12e8fce494,1022.950501213074,-773.2851428031918,ZB,14,#000000
163,a75b15f1-170a-b360-7649-001c73ac7d32,1022.950501213074,-793.2851428031918,ZA,14,#000000
164,bc21504f-7fed-2d6a-a0e5-82f73b60349b,1023.068456192017,-955.2851428031918,R,14,#000000
165,189eddf5-911b-56b7-1acf-f23846b26e96,1022.2843086814884,-813.2851428031918,Z,14,#000000
166,235baa33-3908-fef9-3f99-fd73e10bee11,1022.6749336814884,-833.2851428031918,Y,14,#000000
167,84db841c-fdaf-3333-ef56-7256393d5d5b,1022.6749336814884,-853.2851428031918,X,14,#000000
168,e2713b81-6c15-f6aa-edc4-dafb92f2aab7,1022.6138537025454,-873.2851428031918,W,14,#000000
169,0ce7c4bd-592c-ece7-abc1-48cade40d094,1023.2843086814884,-915.2851428031918,T,14,#000000
170,e52fa3ce-d316-9bed-10bc-67ec2381c931,1023.4490811920168,-975.2851428031918,Q,14,#000000
171,829b107a-996b-64d5-18fa-17a2d30dc240,1263.5498762130735,-691.2851428031918,ZF,14,#000000
172,a26e3ea6-cbe1-c09b-639c-665733c1d5ab,1262.950501213074,-711.2851428031918,ZE,14,#000000
